codigo,mes,inversion,av_financiero,av_fis_producto,av_gestion
2020011000109,Enero,4.879.655.911,"0,00%","0,00%","0,00%"
2020011000109,Febrero,4.879.655.911,"0,00%","0,00%","8,40%"
2020011000109,Marzo,4.879.655.911,"0,00%","0,00%","30,80%"
2020011000109,Abril,4.879.655.911,"0,00%","0,00%","47,50%"
2020011000109,Mayo,4.879.655.911,"40,00%","0,00%","65,00%"
2020011000109,Junio,4.879.655.911,"40,00%","24,00%","76,90%"
2020011000109,Julio,4.879.655.911,"80,00%","24,00%","94,40%"
2020011000109,Agosto,4.879.655.911,"90,00%","54,00%","100,00%"
2020011000109,Septiembre,4.879.655.911,"90,00%","54,00%","100,00%"
2020011000109,Octubre,4.879.655.911,"90,00%","54,00%","100,00%"
2020011000109,Noviembre,4.879.655.911,"90,00%","54,00%","100,00%"
2020011000109,Diciembre,4.879.655.911,"100,00%","54,00%","100,00%"
2020011000111,Enero,2.278.220.290,"0,00%","0,00%","0,00%"
2020011000111,Febrero,2.278.220.290,"0,00%","0,00%","0,00%"
2020011000111,Marzo,2.278.220.290,"0,00%","0,00%","23,00%"
2020011000111,Abril,2.278.220.290,"0,00%","0,00%","58,00%"
2020011000111,Mayo,2.278.220.290,"0,00%","0,00%","70,00%"
2020011000111,Junio,2.278.220.290,"0,00%","0,00%","77,00%"
2020011000111,Julio,2.278.220.290,"12,65%","0,00%","81,00%"
2020011000111,Agosto,2.278.220.290,"12,65%","63,00%","100,00%"
2020011000111,Septiembre,2.278.220.290,"12,65%","63,00%","100,00%"
2020011000111,Octubre,2.278.220.290,"62,84%","63,00%","100,00%"
2020011000111,Noviembre,2.278.220.290,"62,84%","63,00%","100,00%"
2020011000111,Diciembre,2.278.220.290,"62,84%","63,00%","100,00%"
2020011000116,Enero,721.779.710,"0,00%","0,00%","0,00%"
2020011000116,Febrero,721.779.710,"0,00%","0,00%","0,00%"
2020011000116,Marzo,721.779.710,"0,00%","0,00%","0,00%"
2020011000116,Abril,721.779.710,"0,00%","0,00%","0,00%"
2020011000116,Mayo,721.779.710,"0,00%","0,00%","0,00%"
2020011000116,Junio,721.779.710,"0,00%","0,00%","0,00%"
2020011000116,Julio,721.779.710,"0,00%","0,00%","0,00%"
2020011000116,Agosto,721.779.710,"0,00%","0,00%","0,00%"
2020011000116,Septiembre,721.779.710,"0,00%","0,00%","0,00%"
2020011000116,Octubre,721.779.710,"0,00%","0,00%","0,00%"
2020011000116,Noviembre,721.779.710,"0,00%","0,00%","0,00%"
2020011000116,Diciembre,721.779.710,"0,00%","0,00%","0,00%"
2018011000448,Enero,2.230.053.000,"0,00%","0,00%","0,08%"
2018011000448,Febrero,2.230.053.000,"0,00%","0,00%","0,17%"
2018011000448,Marzo,2.230.053.000,"0,00%","0,00%","0,25%"
2018011000448,Abril,2.230.053.000,"0,00%","0,00%","0,33%"
2018011000448,Mayo,2.230.053.000,"0,00%","0,00%","0,42%"
2018011000448,Junio,2.230.053.000,"0,00%","0,00%","0,42%"
2018011000448,Julio,2.230.053.000,"0,00%","1,00%","12,88%"
2018011000448,Agosto,2.230.053.000,"0,00%","82,00%","57,03%"
2018011000448,Septiembre,2.230.053.000,"0,00%","87,00%","74,18%"
2018011000448,Octubre,2.230.053.000,"0,00%","94,00%","89,61%"
2018011000448,Noviembre,2.230.053.000,"0,00%","87,00%","80,71%"
2018011000448,Diciembre,2.230.053.000,"90,01%","95,00%","85,03%"
2018011000553,Enero,3.008.778.007,"0,00%","0,00%","0,00%"
2018011000553,Febrero,3.008.778.007,"0,00%","0,00%","0,00%"
2018011000553,Marzo,3.008.778.007,"0,00%","0,00%","0,00%"
2018011000553,Abril,3.008.778.007,"0,00%","0,00%","0,00%"
2018011000553,Mayo,3.008.778.007,"0,00%","0,00%","0,00%"
2018011000553,Junio,3.008.778.007,"0,00%","0,00%","0,00%"
2018011000553,Julio,3.008.778.007,"0,00%","0,00%","0,00%"
2018011000553,Agosto,3.008.778.007,"52,29%","0,00%","0,00%"
2018011000553,Septiembre,3.008.778.007,"52,29%","0,00%","4,40%"
2018011000553,Octubre,3.008.778.007,"94,08%","1,00%","19,20%"
2018011000553,Noviembre,3.008.778.007,"94,08%","2,00%","35,60%"
2018011000553,Diciembre,3.008.778.007,"94,08%","4,00%","47,60%"
2018011000587,Enero,2.948.890.339,"0,00%","10,00%","4,00%"
2018011000587,Febrero,2.948.890.339,"1,21%","20,00%","8,00%"
2018011000587,Marzo,2.948.890.339,"2,25%","30,00%","34,00%"
2018011000587,Abril,2.948.890.339,"23,51%","40,00%","42,50%"
2018011000587,Mayo,2.948.890.339,"25,06%","50,00%","50,50%"
2018011000587,Junio,2.948.890.339,"26,50%","60,00%","57,50%"
2018011000587,Julio,2.948.890.339,"26,50%","60,00%","74,50%"
2018011000587,Agosto,2.948.890.339,"26,50%","60,00%","80,50%"
2018011000587,Septiembre,2.948.890.339,"26,50%","70,00%","86,00%"
2018011000587,Octubre,2.948.890.339,"31,73%","80,00%","88,00%"
2018011000587,Noviembre,2.948.890.339,"68,78%","90,00%","94,50%"
2018011000587,Diciembre,2.948.890.339,"87,31%","100,00%","100,00%"
2018011000693,Enero,4.771.580.128,"0,00%","0,00%","0,00%"
2018011000693,Febrero,4.771.580.128,"0,02%","0,00%","0,00%"
2018011000693,Marzo,4.771.580.128,"0,36%","0,00%","0,00%"
2018011000693,Abril,4.771.580.128,"0,69%","0,00%","0,00%"
2018011000693,Mayo,4.771.580.128,"1,49%","0,00%","0,00%"
2018011000693,Junio,4.771.580.128,"1,73%","0,00%","0,00%"
2018011000693,Julio,4.771.580.128,"2,08%","0,00%","0,00%"
2018011000693,Agosto,4.771.580.128,"2,32%","0,00%","5,00%"
2018011000693,Septiembre,4.771.580.128,"2,80%","0,00%","6,00%"
2018011000693,Octubre,4.771.580.128,"4,44%","0,00%","11,00%"
2018011000693,Noviembre,4.771.580.128,"4,92%","0,00%","39,00%"
2018011000693,Diciembre,4.771.580.128,"5,49%","22,00%","44,00%"
2018011000701,Enero,4.940.983.677,"0,00%","8,00%","7,20%"
2018011000701,Febrero,4.940.983.677,"4,95%","17,00%","15,30%"
2018011000701,Marzo,4.940.983.677,"9,90%","25,00%","23,90%"
2018011000701,Abril,4.940.983.677,"14,85%","33,00%","32,60%"
2018011000701,Mayo,4.940.983.677,"19,80%","42,00%","40,70%"
2018011000701,Junio,4.940.983.677,"24,75%","50,00%","49,30%"
2018011000701,Julio,4.940.983.677,"29,70%","58,00%","56,90%"
2018011000701,Agosto,4.940.983.677,"29,70%","67,00%","66,00%"
2018011000701,Septiembre,4.940.983.677,"34,65%","75,00%","73,20%"
2018011000701,Octubre,4.940.983.677,"47,72%","83,00%","82,20%"
2018011000701,Noviembre,4.940.983.677,"60,79%","92,00%","91,40%"
2018011000701,Diciembre,4.940.983.677,"76,98%","100,00%","100,00%"
2018011000706,Enero,3.654.855.274,"0,00%","0,00%","0,00%"
2018011000706,Febrero,3.654.855.274,"0,00%","0,00%","0,00%"
2018011000706,Marzo,3.654.855.274,"0,00%","0,00%","0,00%"
2018011000706,Abril,3.654.855.274,"0,00%","0,00%","0,00%"
2018011000706,Mayo,3.654.855.274,"0,00%","0,00%","0,00%"
2018011000706,Junio,3.654.855.274,"0,00%","0,00%","0,00%"
2018011000706,Julio,3.654.855.274,"0,00%","0,00%","0,00%"
2018011000706,Agosto,3.654.855.274,"0,00%","0,00%","0,00%"
2018011000706,Septiembre,3.654.855.274,"0,00%","0,00%","0,00%"
2018011000706,Octubre,3.654.855.274,"0,00%","0,00%","0,00%"
2018011000706,Noviembre,3.654.855.274,"0,00%","0,00%","0,00%"
2018011000706,Diciembre,3.654.855.274,"20,65%","90,00%","100,00%"
2018011000718,Enero,3.714.179.073,"0,00%","100,00%","14,00%"
2018011000718,Febrero,3.714.179.073,"10,76%","100,00%","14,00%"
2018011000718,Marzo,3.714.179.073,"22,12%","100,00%","27,00%"
2018011000718,Abril,3.714.179.073,"25,15%","100,00%","29,00%"
2018011000718,Mayo,3.714.179.073,"28,90%","100,00%","33,00%"
2018011000718,Junio,3.714.179.073,"32,06%","100,00%","36,00%"
2018011000718,Julio,3.714.179.073,"35,46%","100,00%","40,00%"
2018011000718,Agosto,3.714.179.073,"35,46%","100,00%","46,00%"
2018011000718,Septiembre,3.714.179.073,"40,49%","100,00%","46,00%"
2018011000718,Octubre,3.714.179.073,"48,81%","100,00%","53,00%"
2018011000718,Noviembre,3.714.179.073,"60,66%","100,00%","64,00%"
2018011000718,Diciembre,3.714.179.073,"74,52%","100,00%","100,00%"
2018011000719,Enero,26.675.157.111,"0,00%","100,00%","100,00%"
2018011000719,Febrero,26.675.157.111,"8,10%","100,00%","100,00%"
2018011000719,Marzo,26.675.157.111,"16,20%","100,00%","100,00%"
2018011000719,Abril,26.675.157.111,"24,30%","100,00%","100,00%"
2018011000719,Mayo,26.675.157.111,"32,41%","100,00%","100,00%"
2018011000719,Junio,26.675.157.111,"40,51%","100,00%","100,00%"
2018011000719,Julio,26.675.157.111,"48,61%","100,00%","100,00%"
2018011000719,Agosto,26.675.157.111,"48,61%","100,00%","100,00%"
2018011000719,Septiembre,26.675.157.111,"56,71%","100,00%","100,00%"
2018011000719,Octubre,26.675.157.111,"65,13%","100,00%","100,00%"
2018011000719,Noviembre,26.675.157.111,"73,54%","100,00%","100,00%"
2018011000719,Diciembre,26.675.157.111,"87,20%","99,00%","100,00%"
2018011000745,Enero,2.230.053.000,"0,00%","0,00%","0,00%"
2018011000745,Febrero,2.230.053.000,"0,00%","0,00%","0,00%"
2018011000745,Marzo,2.230.053.000,"0,72%","22,00%","22,60%"
2018011000745,Abril,2.230.053.000,"1,43%","39,00%","31,60%"
2018011000745,Mayo,2.230.053.000,"2,15%","50,00%","37,60%"
2018011000745,Junio,2.230.053.000,"2,87%","56,00%","40,60%"
2018011000745,Julio,2.230.053.000,"2,87%","61,00%","47,00%"
2018011000745,Agosto,2.230.053.000,"4,30%","73,00%","53,40%"
2018011000745,Septiembre,2.230.053.000,"47,80%","84,00%","62,80%"
2018011000745,Octubre,2.230.053.000,"97,85%","84,00%","96,60%"
2018011000745,Noviembre,2.230.053.000,"98,57%","84,00%","100,00%"
2018011000745,Diciembre,2.230.053.000,"99,28%","100,00%","100,00%"
2018011000823,Enero,2.123.860.000,"0,00%","0,00%","0,00%"
2018011000823,Febrero,2.123.860.000,"0,00%","0,00%","50,00%"
2018011000823,Marzo,2.123.860.000,"0,00%","11,00%","50,00%"
2018011000823,Abril,2.123.860.000,"17,33%","22,00%","70,00%"
2018011000823,Mayo,2.123.860.000,"28,45%","22,00%","80,00%"
2018011000823,Junio,2.123.860.000,"28,45%","22,00%","80,00%"
2018011000823,Julio,2.123.860.000,"28,45%","22,00%","80,00%"
2018011000823,Agosto,2.123.860.000,"39,57%","22,00%","80,00%"
2018011000823,Septiembre,2.123.860.000,"39,57%","22,00%","80,00%"
2018011000823,Octubre,2.123.860.000,"44,10%","22,00%","80,00%"
2018011000823,Noviembre,2.123.860.000,"76,19%","22,00%","90,00%"
2018011000823,Diciembre,2.123.860.000,"92,24%","100,00%","100,00%"
2018011000846,Enero,4.223.900.755,"0,00%","0,00%","50,00%"
2018011000846,Febrero,4.223.900.755,"17,40%","0,00%","50,00%"
2018011000846,Marzo,4.223.900.755,"17,40%","0,00%","50,00%"
2018011000846,Abril,4.223.900.755,"17,40%","0,00%","50,00%"
2018011000846,Mayo,4.223.900.755,"17,40%","0,00%","50,00%"
2018011000846,Junio,4.223.900.755,"17,40%","0,00%","50,00%"
2018011000846,Julio,4.223.900.755,"32,21%","0,00%","24,50%"
2018011000846,Agosto,4.223.900.755,"32,21%","0,00%","24,50%"
2018011000846,Septiembre,4.223.900.755,"52,73%","0,00%","50,00%"
2018011000846,Octubre,4.223.900.755,"52,73%","0,00%","50,00%"
2018011000846,Noviembre,4.223.900.755,"82,34%","0,00%","100,00%"
2018011000846,Diciembre,4.223.900.755,"82,34%","0,00%","100,00%"
2020011000108,Enero,4.688.077.000,"0,00%","0,00%","0,00%"
2020011000108,Febrero,4.688.077.000,"0,00%","0,00%","0,00%"
2020011000108,Marzo,4.688.077.000,"20,48%","0,00%","15,00%"
2020011000108,Abril,4.688.077.000,"27,99%","19,00%","26,20%"
2020011000108,Mayo,4.688.077.000,"35,50%","19,00%","26,20%"
2020011000108,Junio,4.688.077.000,"35,50%","19,00%","41,20%"
2020011000108,Julio,4.688.077.000,"35,50%","19,00%","56,20%"
2020011000108,Agosto,4.688.077.000,"43,01%","19,00%","56,20%"
2020011000108,Septiembre,4.688.077.000,"43,01%","19,00%","56,20%"
2020011000108,Octubre,4.688.077.000,"51,48%","37,00%","66,20%"
2020011000108,Noviembre,4.688.077.000,"71,88%","63,00%","92,00%"
2020011000108,Diciembre,4.688.077.000,"91,33%","100,00%","100,00%"
2018011000622,Enero,55.447.195.900,"0,00%","0,00%","0,00%"
2018011000622,Febrero,55.447.195.900,"0,00%","7,00%","7,20%"
2018011000622,Marzo,55.447.195.900,"21,46%","17,00%","17,10%"
2018011000622,Abril,55.447.195.900,"37,34%","26,00%","26,10%"
2018011000622,Mayo,55.447.195.900,"45,64%","35,00%","35,10%"
2018011000622,Junio,55.447.195.900,"53,94%","44,00%","44,10%"
2018011000622,Julio,55.447.195.900,"62,24%","54,00%","54,10%"
2018011000622,Agosto,55.447.195.900,"91,17%","63,00%","63,10%"
2018011000622,Septiembre,142.447.195.900,"35,49%","72,00%","72,10%"
2018011000622,Octubre,142.447.195.900,"35,49%","81,00%","81,10%"
2018011000622,Noviembre,142.447.195.900,"35,49%","91,00%","91,00%"
2018011000622,Diciembre,142.447.195.900,"68,73%","100,00%","100,00%"
